,h,e,x,a,c,o
1,2.375,2.5,2.375,2.75,2.5625,2.5625
2,2.25,2.4375,2.375,2.75,2.3125,2.0625
3,2.5,2.125,2.0625,2.9375,2.25,2.6875
4,2.0,2.5625,2.25,2.4375,1.5,3.125
5,2.3125,2.875,2.8125,2.875,2.8125,2.1875
6,2.5625,2.25,2.375,1.75,2.3125,2.625
7,2.25,2.5,1.875,2.25,2.5,2.3125
8,2.5,2.5,2.5,2.8125,2.8125,2.625
9,2.25,2.6875,2.8125,2.5625,2.0,2.9375
10,2.3125,2.25,2.5625,3.0,2.6875,1.9375
11,2.3125,2.5625,3.125,2.375,2.5,2.375
12,1.9375,2.625,2.5625,2.375,2.75,2.1875
13,2.25,2.5625,2.5625,2.5625,2.875,2.75
14,2.5,2.375,2.5,2.375,2.25,2.1875
15,2.25,2.1875,2.75,2.25,2.6875,2.0
16,2.0625,2.5,2.9375,2.6875,2.5,2.5
17,2.4375,2.6875,3.25,2.75,2.4375,2.5
18,2.5625,2.375,2.5625,2.25,2.9375,2.5625
19,1.8125,2.6875,2.9375,2.125,2.375,2.6875
20,2.0625,2.375,2.125,2.1875,2.9375,2.5625
21,2.875,2.625,2.4375,2.5625,3.25,2.5
22,1.6875,2.4375,2.9375,2.125,2.5625,3.125
23,2.375,2.6875,2.5,2.0,2.4375,2.4375
24,2.75,2.5625,2.125,2.375,2.9375,2.9375
25,2.75,2.0625,2.6875,3.125,1.9375,3.25
26,1.8125,2.25,2.5,1.8125,2.1875,2.0625
27,2.375,2.625,2.875,2.3125,1.8125,2.6875
28,2.625,2.625,1.8125,2.0,2.5,2.875
29,2.3125,2.8125,2.8125,2.8125,1.9375,2.0
30,2.25,3.0,2.6875,2.5625,1.8125,2.3125
31,2.5625,2.25,2.5625,2.75,2.5625,2.5
32,2.0625,2.375,2.125,2.4375,2.25,2.375
33,2.3125,2.25,3.0,2.625,2.8125,2.8125
34,2.5625,2.9375,2.0625,2.1875,2.375,2.1875
35,2.375,2.4375,2.4375,2.1875,2.6875,1.875
36,2.0625,2.1875,2.5,2.5625,2.1875,2.6875
37,2.5625,3.375,2.4375,2.625,2.375,2.25
38,2.5,2.8125,3.1875,2.125,2.375,2.5
39,2.0625,2.625,2.75,2.6875,3.0625,3.4375
40,1.875,2.75,2.5,2.625,2.0625,1.9375
41,2.0625,2.8125,3.0,2.25,2.5625,2.5625
42,2.6875,2.4375,3.25,3.1875,2.3125,1.9375
43,2.3125,2.8125,2.4375,2.125,3.0,2.125
44,2.5,2.9375,2.5625,3.3125,2.125,2.6875
45,2.9375,2.8125,2.3125,2.9375,3.125,1.9375
46,2.75,2.6875,2.375,2.3125,2.6875,2.125
47,2.125,2.5625,2.75,2.75,2.25,1.875
48,2.3125,2.5625,2.125,2.0625,2.375,2.375
49,2.3125,3.0,2.5625,2.6875,2.5625,2.6875
