Domain,Score
h,2.875
e,2.8125
x,2.8125
a,3.125
c,3.1875
o,3.0

Question,Response
1,4
2,3
3,4
4,4
5,1
6,5
7,3
8,5
9,3
10,5
11,5
12,1
13,4
14,4
15,3
16,4
17,1
18,4
19,5
20,2
21,5
22,3
23,4
24,1
25,1
26,5
27,5
28,1
29,5
30,5
31,3
32,5
33,4
34,2
35,5
36,2
37,2
38,3
39,5
40,4
41,3
42,4
43,5
44,5
45,1
46,2
47,5
48,1
49,3
50,5
51,3
52,3
53,4
54,3
55,3
56,1
57,1
58,2
59,3
60,5
61,4
62,3
63,2
64,5
65,1
66,1
67,3
68,2
69,2
70,5
71,5
72,5
73,4
74,3
75,4
76,3
77,4
78,2
79,5
80,4
81,5
82,2
83,1
84,5
85,3
86,4
87,2
88,4
89,1
90,3
91,2
92,5
93,3
94,2
95,3
96,3
97,1
98,5
99,3
100,2
